name,type,rattle,smoothness,sound_profile,price_tier,build_quality
Durock V2,screw_in,0.2,0.9,0.8,0.7,0.9
Cherry Clip-in,clip_in,0.6,0.6,0.5,0.3,0.6
C³Equalz Screw-in,screw_in,0.25,0.85,0.8,0.6,0.85
Zeal Screw-in,screw_in,0.2,0.9,0.85,0.9,0.95
GMK Screw-in,screw_in,0.3,0.8,0.75,0.6,0.8
Everglide Panda,screw_in,0.25,0.85,0.8,0.65,0.85
GOAT Stabilizers,clip_in,0.4,0.7,0.7,0.5,0.75
NK Stabilizers,screw_in,0.3,0.8,0.75,0.5,0.8
Gateron Screw-in,screw_in,0.35,0.75,0.7,0.4,0.75
Durock Piano,screw_in,0.15,0.95,0.9,0.8,0.95
